compound_id	structure_issue	stereochemistry_issue	double_bond_issue	sugar_issue	acyl_chain_issue	source_conflict	recommended_action	reference_id	status	notes
PAPU-0069	Structure shown in NO.13 and NO.15 Fig. 1 and supported by NMR/MS but full machine-readable structure is not curated	partial from Fig. 1; hydrolysis product absolute configuration assigned identical to Papulacandin B; full stereochemical SMILES needs manual transcription	C2'', C2''', C4'', C8'', and C10'' reported E; C4''' reported Z; verify all E/Z labels during SMILES transcription	intact spirocyclic diglycoside; galactose assignments clarified in NO.15	C6' C10 side chain identical to chaetiacandin and C3 C16 chain lacks C8/C14 methyl groups relative to L-687781; manually encode	NO.15 states earlier L-687781 assignments may be incorrect; BE-29602 identity with PF-1042 should remain deduplicated	Build full isomeric SMILES from Okada 1996 Fig. 1 and reconcile with Chen 1996 PF-1042/BE-29602 before modeling	PAPER-1996-CHEN;PAPER-1996-OKADA	open	NO.13 first entered PF-1042/BE-29602; NO.15 confirms BE-29602 structure, formula C45H62O16, and biological activity. No duplicate compound ID was created.
PAPU-0070	Structure shown in Scheme 2 and supported by NMR/MS but full machine-readable structure is not curated	partial from Scheme 2 and sugar hydrolysis; full isomeric SMILES stereochemistry requires manual transcription	long fatty acid four double bonds reported trans; short C10 fatty acid double bonds reported trans and cis; verify during SMILES transcription	contains 1-beta-glucopyranose linked beta(1-4) to beta-D-galactofuranose; unusual relative to other papulacandins	long fatty acid ester at glucose 3-OH and short fatty acid ester at galactose C-6' should be manually encoded	none	Build full isomeric SMILES from Scheme 2 and verify formula C45H64O17 and HRFAB-MS [M+Na]+ m/z 899.4011	PAPER-1996-MAGOME	open	NO.14 is valuable for structure/SAR because Furanocandin lacks the classical spirocyclic moiety and has a galactofuranosyl unit.
PAPU-0071	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' E,E-decadienoyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6a; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0072	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' acetyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6b; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0073	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' decanoyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6c; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0074	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' benzoyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6d; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0075	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' p-butylbenzoyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6e; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0076	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' naphthoyl-type fused aromatic ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6f; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0077	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' methyl-naphthoyl-type fused aromatic ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6g; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0078	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' tricyclic fused aromatic ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6h; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0079	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' extended tricyclic aromatic ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6i; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0080	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' biphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6j; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0081	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' terphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6k; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0082	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' phenoxyphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6l; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0083	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' ethylbiphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6m; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0084	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' methoxybiphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6n; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0085	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' propoxybiphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6o; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0086	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' isopropoxybiphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6p; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0087	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' octyloxybiphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6q; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0088	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' benzyloxybiphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6r; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0089	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' methoxybiphenyl regioisomer ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6s; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0090	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' methoxybiphenyl regioisomer ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6t; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0091	Table 1/Scheme 1 show the C-6' R-group analog concept, but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; analog-specific full stereochemical SMILES pending	C-3 side-chain geometry inherited from Fusacandin A; C-6' R-group double-bond/aromatic details need manual transcription where applicable	fusacandin trisaccharide core should be manually encoded	C-6' hydroxybiphenylcarbonyl ester; exact acyl residue must be transcribed from Table 1 R-group drawing	none	Transcribe the Table 1 R group, attach at C-6 prime, and verify HRMS plus HPLC purity greater than 90 percent before SMILES-based modeling	PAPER-1996-YEUNG	open	NO.16 final analog 6u; protected intermediates 3/4/5 intentionally excluded from compounds_master.
PAPU-0092	Fig. 1 plus Table 1 NMR and Fig. 2 MS/MS support the structure, but full machine-readable structure is not curated	relative glucose-like and galactose-like sugar stereochemistry assigned by coupling/NOE; full isomeric SMILES stereochemistry needs manual transcription and confirmation	C3 acyl 2'',4'' diene assigned trans-trans by NOE; C6' acyl 2''',4''' diene assigned trans-cis by NOE; verify during SMILES transcription	contains a C-glycosidic glucose-like unit and an O-glycosidic galactose-like unit	shortened C3 ester chain and C6' dienoic ester must be manually encoded from Fig. 1/Table 1	none	Build full isomeric SMILES from Fig. 1 and verify formula C41H60O16 against HRFAB-MS [M+H]+ m/z 809.3972 before structure-based modeling	PAPER-1997-GUNAWARDANA	open	NO.17 adds Corynecandin as a small papulacandin/chaetiacandin-type glycolipid with MIC and glucan synthase IC50 data.
PAPU-0093	Final product structure is shown in the Figure/Schemes and supported by analytical data, but full machine-readable structure is not curated	Synthetic route uses enantiopure chiral building block and Papulacandin D spiroketal core; full stereochemical SMILES needs manual transcription	C3 Saricandin-like side chain reported as 2E,4E,8E,10E; verify all E/Z labels during SMILES transcription	galactose absent; monoglycoside analog corresponding to Papulacandin D	Saricandin-like C3 C16 tetraenoic acyl chain present; C6 prime short fatty acid absent because galactose moiety is absent	none	Build full isomeric SMILES from the Figure and Scheme 5; verify formula C29H38O10 and exact mass 546.2465 before modeling	PAPER-2001-HAMDOUCHI	open	NO.18 is structurally useful as a synthetic negative SAR analog: compound 1 lacks significant enzyme/cell antifungal activity but lacks quantitative MIC or IC50 values.
PAPU-0094	Full machine-readable isomeric structure is not yet curated from Fig. 1	Relative/absolute stereochemical drawing should be manually transcribed and checked against NMR/CID interpretation	C3 long acyl chain assigned as 2E,4E,12E; verify all double-bond labels during SMILES transcription	Two-sugar papulacandin-family core present; verify galactose and C-6 prime R1 attachment in the drawn structure	C3 C16 trienoyl side chain plus absent; R1=H at C-6 prime; verify ester positions and formula C37H54O15	none noted; A1/A2 were isolated as a mixture	Build full isomeric SMILES from Fig. 1; verify formula, exact mass, C3 side-chain geometry, and core type before modeling	PAPER-2002-OHYAMA	open	F-10748 A1: A1 was isolated only as an A1/A2 mixture; no Table 3 or Table 4 bioactivity value was reported.
PAPU-0095	Full machine-readable isomeric structure is not yet curated from Fig. 1	Relative/absolute stereochemical drawing should be manually transcribed and checked against NMR/CID interpretation	C3 long acyl chain assigned as 2E,4E,12E; verify all double-bond labels during SMILES transcription	Two-sugar papulacandin-family core present; verify galactose and C-6 prime R1 attachment in the drawn structure	C3 C16 trienoyl side chain plus absent; R1=H at C-6 prime; verify ester positions and formula C37H56O15	none noted; A1/A2 were isolated as a mixture	Build full isomeric SMILES from Fig. 1; verify formula, exact mass, C3 side-chain geometry, and core type before modeling	PAPER-2002-OHYAMA	open	F-10748 A2: A2 was isolated only as an A1/A2 mixture; no Table 3 or Table 4 bioactivity value was reported.
PAPU-0096	Full machine-readable isomeric structure is not yet curated from Fig. 1	Relative/absolute stereochemical drawing should be manually transcribed and checked against NMR/CID interpretation	C3 long acyl chain assigned as 2E,4E,12E; verify all double-bond labels during SMILES transcription	Two-sugar papulacandin-family core present; verify galactose and C-6 prime R1 attachment in the drawn structure	C3 C16 trienoyl side chain plus C-6 prime butyryl ester; verify ester positions and formula C41H60O16	none noted	Build full isomeric SMILES from Fig. 1; verify formula, exact mass, C3 side-chain geometry, and core type before modeling	PAPER-2002-OHYAMA	open	F-10748 B1: Papulacandin-type B member bearing a C-6 prime butyryl side chain.
PAPU-0097	Full machine-readable isomeric structure is not yet curated from Fig. 1	Relative/absolute stereochemical drawing should be manually transcribed and checked against NMR/CID interpretation	C3 long acyl chain assigned as 2E,4E,12E; verify all double-bond labels during SMILES transcription	Two-sugar papulacandin-family core present; verify galactose and C-6 prime R1 attachment in the drawn structure	C3 C16 trienoyl side chain plus C-6 prime butyryl ester; verify ester positions and formula C41H62O16	none noted	Build full isomeric SMILES from Fig. 1; verify formula, exact mass, C3 side-chain geometry, and core type before modeling	PAPER-2002-OHYAMA	open	F-10748 B2: Chaetiacandin-type B member bearing a C-6 prime butyryl side chain.
PAPU-0098	Full machine-readable isomeric structure is not yet curated from Fig. 1	Relative/absolute stereochemical drawing should be manually transcribed and checked against NMR/CID interpretation	C3 long acyl chain assigned as 2E,4E,12E; verify all double-bond labels during SMILES transcription	Two-sugar papulacandin-family core present; verify galactose and C-6 prime R1 attachment in the drawn structure	C3 C16 trienoyl side chain plus C-6 prime valeryl ester; verify ester positions and formula C42H62O16	none noted	Build full isomeric SMILES from Fig. 1; verify formula, exact mass, C3 side-chain geometry, and core type before modeling	PAPER-2002-OHYAMA	open	F-10748 C1: Main structure-elucidation compound; papulacandin-type C member bearing a C-6 prime valeryl side chain.
PAPU-0099	Full machine-readable isomeric structure is not yet curated from Fig. 1	Relative/absolute stereochemical drawing should be manually transcribed and checked against NMR/CID interpretation	C3 long acyl chain assigned as 2E,4E,12E; verify all double-bond labels during SMILES transcription	Two-sugar papulacandin-family core present; verify galactose and C-6 prime R1 attachment in the drawn structure	C3 C16 trienoyl side chain plus C-6 prime valeryl ester; verify ester positions and formula C42H64O16	none noted	Build full isomeric SMILES from Fig. 1; verify formula, exact mass, C3 side-chain geometry, and core type before modeling	PAPER-2002-OHYAMA	open	F-10748 C2: Main structure-elucidation companion; chaetiacandin-type C member bearing a C-6 prime valeryl side chain.
PAPU-0100	Full machine-readable isomeric structure is not yet curated from Fig. 1	Relative/absolute stereochemical drawing should be manually transcribed and checked against NMR/CID interpretation	C3 long acyl chain assigned as 2E,4E,12E; verify all double-bond labels during SMILES transcription	Two-sugar papulacandin-family core present; verify galactose and C-6 prime R1 attachment in the drawn structure	C3 C16 trienoyl side chain plus C-6 prime hexanoyl ester; verify ester positions and formula C43H64O16	none noted	Build full isomeric SMILES from Fig. 1; verify formula, exact mass, C3 side-chain geometry, and core type before modeling	PAPER-2002-OHYAMA	open	F-10748 D1: Papulacandin-type D member bearing a C-6 prime hexanoyl side chain.
PAPU-0101	Full machine-readable isomeric structure is not yet curated from Fig. 1	Relative/absolute stereochemical drawing should be manually transcribed and checked against NMR/CID interpretation	C3 long acyl chain assigned as 2E,4E,12E; verify all double-bond labels during SMILES transcription	Two-sugar papulacandin-family core present; verify galactose and C-6 prime R1 attachment in the drawn structure	C3 C16 trienoyl side chain plus C-6 prime hexanoyl ester; verify ester positions and formula C43H66O16	none noted	Build full isomeric SMILES from Fig. 1; verify formula, exact mass, C3 side-chain geometry, and core type before modeling	PAPER-2002-OHYAMA	open	F-10748 D2: Chaetiacandin-type D member bearing a C-6 prime hexanoyl side chain.
PAPU-0102	final compound supported by NMR/HRMS, but full stereochemical SMILES is not curated	spiroketal stereochemistry follows the synthetic route; verify complete isomeric depiction during SMILES transcription	C3 side-chain unsaturation/geometry recorded as 2E,4E inferred from sorbic acid; verify from starting acid and Scheme 4	galactose absent; Papulacandin D-like monoglycoside only	C3 acyl chain is sorbyl ester side chain at glucose O-3; confirm ester position at glucose O-3	none noted	Draw full isomeric SMILES from Scheme 4 and SI; verify HRMS formula before modeling	PAPER-2012-VANDERKAADEN	open	Papulacandin D sorbic acid mimic 48: Formula C19H22O9 supported by HRMS as [M+Na]+.
PAPU-0103	final compound supported by NMR/HRMS, but full stereochemical SMILES is not curated	spiroketal stereochemistry follows the synthetic route; verify complete isomeric depiction during SMILES transcription	C3 side-chain unsaturation/geometry recorded as saturated; verify from starting acid and Scheme 4	galactose absent; Papulacandin D-like monoglycoside only	C3 acyl chain is palmitoyl ester side chain at glucose O-3; confirm ester position at glucose O-3	none noted	Draw full isomeric SMILES from Scheme 4 and SI; verify HRMS formula before modeling	PAPER-2012-VANDERKAADEN	open	Papulacandin D palmitic acid mimic 49: Formula C29H46O9 supported by HRMS as [M+Na]+.
PAPU-0104	final compound supported by NMR/HRMS, but full stereochemical SMILES is not curated	spiroketal stereochemistry follows the synthetic route; verify complete isomeric depiction during SMILES transcription	C3 side-chain unsaturation/geometry recorded as 9Z,12Z from linoleic acid; two cis double bonds; verify from starting acid and Scheme 4	galactose absent; Papulacandin D-like monoglycoside only	C3 acyl chain is linoleoyl ester side chain at glucose O-3; confirm ester position at glucose O-3	none noted	Draw full isomeric SMILES from Scheme 4 and SI; verify HRMS formula before modeling	PAPER-2012-VANDERKAADEN	open	Papulacandin D linoleic acid mimic 50: Formula C31H46O9 supported by HRMS as [M+H]+ and [M+Na]+.
PAPU-0105	final compound identity is uncertain because no clear NMR/MS spectra were obtained	spiroketal stereochemistry follows the synthetic route; verify complete isomeric depiction during SMILES transcription	C3 side-chain unsaturation/geometry recorded as all-trans retinoic acid mimic; final identity analytically uncertain; verify from starting acid and Scheme 4	galactose absent; Papulacandin D-like monoglycoside only	C3 acyl chain is all-trans-retinoyl ester side chain at glucose O-3; confirm ester position at glucose O-3	analytical support absent for 51	Draw full isomeric SMILES from Scheme 4 and SI; exclude or flag 51 in structure-based modeling until identity is verified	PAPER-2012-VANDERKAADEN	open	Papulacandin D all-trans-retinoic acid mimic 51: No clear NMR or MS spectra were obtained because of degradation/aggregation; formula and exact mass were not entered as confirmed.
PAPU-0106	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	no long acyl alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	none; verify O-2/O-3 assignment from HMBC and Scheme 1	assay text mentions C. glabrata, but abstract/table/methods list C. tropicalis; curated as C. tropicalis	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 6: 4-formyl-2-methoxyphenyl 2,3,4,6-tetra-O-acetyl-beta-D-glucopyranoside 6; formula note C22H26O12; isolated/reported yield 51%.
PAPU-0107	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	no long acyl alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	none; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 7: 3-formylphenyl 2,3,4,6-tetra-O-acetyl-beta-D-glucopyranoside 7; formula note C21H24O11; isolated/reported yield 61%.
PAPU-0108	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	no long acyl alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	none; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 8: 4-formyl-2-methoxyphenyl beta-D-glucopyranoside 8; formula note C14H18O8; isolated/reported yield 99%.
PAPU-0109	Compound 9 was described as a possible oligomer by NMR; monomeric structure is uncertain	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	no long acyl alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	none; verify O-2/O-3 assignment from HMBC and Scheme 1	possible oligomer for compound 9	Draw full isomeric SMILES from Scheme 1 and experimental section; flag compound 9 as uncertain before modeling	PAPER-2015-DESOUZA	open	Paper compound 9: 3-formylphenyl beta-D-glucopyranoside 9; formula note C13H16O7 monomer formula not confirmed because NMR suggested possible oligomer; isolated/reported yield 100%.
PAPU-0110	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	no long acyl alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	none; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 10: 4-formyl-2-methoxyphenyl 4,6-O-benzylidene-beta-D-glucopyranoside 10; formula note C21H22O8; isolated/reported yield 72%.
PAPU-0111	Full machine-readable structure is not curated from Scheme 1/experimental data	beta-D-glucopyranoside stereochemistry should be manually encoded in isomeric SMILES	no long acyl alkene geometry issue	galactose absent; classical aryl beta-glucoside, not Papulacandin spiroglucoside	none; verify O-2/O-3 assignment from HMBC and Scheme 1	none noted	Draw full isomeric SMILES from Scheme 1 and experimental section before modeling	PAPER-2015-DESOUZA	open	Paper compound 11: 3-formylphenyl 4,6-O-benzylidene-beta-D-glucopyranoside 11; formula note C20H20O7; isolated/reported yield 60%.
